infobox_id,languages_id,box_heading
76,5,Advertise
77,1,Categories
77,3,Categories
77,4,Categories
77,5,Categories
78,1,Categories
78,3,Categories
78,4,Categories
78,5,Categories
79,1,Categories
79,3,Categories
79,4,Categories
79,5,Categories
80,1,Categories
80,3,Categories
80,4,Categories
80,5,Categories
81,1,Categories
81,3,Categories
81,4,Categories
81,5,Categories
82,1,Select Template
82,3,Select Template
82,4,Select Template
82,5,Select Template
83,1,Reviews
83,3,Reviews
83,4,Reviews
83,5,Reviews
84,1,Specials
84,3,Specials
84,4,Specials
84,5,Specials
280,1,Info pages
280,3,Info pages
280,4,Info pages
280,5,Info pages
89,1,Quick Find
89,3,Quick Find
89,4,Quick Find
89,5,Quick Find
90,1,Manufacturers
90,3,Manufacturers
90,4,Manufacturers
90,5,Manufacturers
91,1,Manufacturers Info
91,3,Manufacturers Info
91,4,Manufacturers Info
91,5,Manufacturers Info
92,1,Notifications
92,3,Notifications
92,4,Notifications
92,5,Notifications
93,1,Tell A Friend
93,3,Tell A Friend
93,4,Tell A Friend
93,5,Tell A Friend
94,1,Latest products
94,3,Latest products
94,4,Latest products
94,5,Latest products
95,1,Shop by Price
95,3,Shop by Price
95,4,Shop by Price
95,5,Shop by Price
96,1,Featured
96,3,Featured
96,4,Featured
96,5,Featured
97,1,Affiliate Info
97,3,Affiliate Info
97,4,Affiliate Info
97,5,Affiliate Info
98,1,Links
98,3,Links
98,4,Links
98,5,Links
99,1,Who's Online
99,3,Who's Online
99,4,Who's Online
99,5,Who's Online
100,1,Google Ad
100,3,Google Ad
100,4,Google Ad
100,5,Google Ad
101,1,Shopping Cart
101,3,Shopping Cart
101,4,Shopping Cart
101,5,Shopping Cart
102,1,Gift Voucher
102,3,Gift Voucher
102,4,Gift Voucher
102,5,Gift Voucher
103,1,Your Account
103,3,Your Account
103,4,Your Account
103,5,Your Account
104,1,Best Sellers
104,3,Best Sellers
104,4,Best Sellers
104,5,Best Sellers
105,1,Order History
105,3,Order History
105,4,Order History
105,5,Order History
106,1,Languages
106,3,Languages
106,4,Languages
106,5,Languages
107,1,Currencies
107,3,Currencies
